Name,Address,Latitude,Longitude,Opening Hours,Secondary Opening Hours,Open Now,Current Opening Hours
Griffith Observatory,2800 E Observatory Rd, Los Angeles, CA 90027, United States,34.1184341,-118.3003935,Monday: Closed; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 10:00 AM – 10:00 PM,2 1200 - 2200,No,1200 - 2200
Hurst Ranch Historical Center,3320 1227 S Orange Ave, West Covina, CA 91790, United States,34.0640878,-117.9520583,Monday: 9:00 AM – 2:00 PM; Tuesday: 9:00 AM – 2:00 PM; Wednesday: 9:00 AM – 2:00 PM; Thursday: 9:00 AM – 2:00 PM; Friday: Closed; Saturday: Closed; Sunday: Closed,2 0900 - 1400,No,0900 - 1400
Stonehurst,Stonehurst, Los Angeles, CA 91352, USA,34.251114,-118.3703581,N/A,N/A,N/A,N/A
Whitehurst,3119 W Imperial Hwy, Inglewood, CA 90303, United States,33.931195,-118.3272135,Monday: 11:30 AM – 7:30 PM; Tuesday: 11:30 AM – 7:30 PM; Wednesday: 11:30 AM – 7:30 PM; Thursday: 11:30 AM – 7:30 PM; Friday: 11:00 AM – 8:00 PM; Saturday: 11:00 AM – 8:00 PM; Sunday: Closed,2 1130 - 1930,No,1130 - 1930
Ovation Hollywood,6801 Hollywood Blvd, Hollywood, CA 90028, United States,34.1023194,-118.3399992,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 10:00 AM – 10:00 PM,1 1000 - 2200,No,1000 - 2200
Avila Adobe,10 Olvera St, Los Angeles, CA 90012, United States,34.0572431,-118.2379814,Monday: Closed; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,2 0900 - 1600,No,0900 - 1600
The Hoxton, Downtown LA,1060 S Broadway, Los Angeles, CA 90015, United States,34.0397406,-118.2585266,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
STILE Downtown Los Angeles by Kasa,929 S Broadway, Los Angeles, CA 90015, United States,34.0418769,-118.2570341,N/A,N/A,N/A,N/A
TCL Chinese Theatre,6925 Hollywood Blvd, Hollywood, CA 90028, United States,34.1020231,-118.3409712,N/A,N/A,N/A,N/A
Hilton Garden Inn Los Angeles/Hollywood,2005 Highland Ave, Los Angeles, CA 90068, United States,34.1066325,-118.3377917,N/A,N/A,N/A,N/A
Hollywood Sign,Los Angeles, CA 90068, United States,34.1341151,-118.3215482,N/A,N/A,N/A,N/A
Campo De Cahuenga,Campo De Cahuenga Park, 3919 Lankershim Blvd, Studio City, CA 91604, United States,34.1398141,-118.3624071,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 10:00 AM – 2:00 PM; Friday: 10:00 AM – 2:00 PM; Saturday: 10:00 AM – 2:00 PM; Sunday: Closed,5 1000 - 1400,No,N/A
Dolby Theatre,6801 Hollywood Blvd, Hollywood, CA 90028, United States,34.1026919,-118.3404156,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,N/A,Yes,N/A
Hertz Car Rental - Los Angeles - N Lacienega Boulevard,450 N La Cienega Blvd, Los Angeles, CA 90048, United States,34.0795856,-118.3760831,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 9:00 AM – 12:00 PM; Sunday: Closed,2 0800 - 1700,No,0800 - 1700
Dr. Ronald Hurst, MD, FACS,11800 Wilshire Blvd, Los Angeles, CA 90025, United States,34.0474414,-118.4628094,N/A,N/A,N/A,N/A
HillHurst Tax Group,2150 Hillhurst Ave, Los Angeles, CA 90027, United States,34.1114099,-118.287241,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,2 0800 - 2100,No,0800 - 2100
Ronald Hurst, MD,11818 Wilshire Blvd # 200, Los Angeles, CA 90025, United States,34.0474145,-118.4628907,N/A,N/A,N/A,N/A
North East Mall,1101 Melbourne Rd, Hurst, TX 76053, United States,32.8298638,-97.1997676,Monday: 10:00 AM – 8:00 PM; Tuesday: 10:00 AM – 8:00 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 12:00 AM – 6:00 PM,1 1000 - 2000,No,1000 - 2000
Taqueria Los Angeles,2600 14th St, Plano, TX 75074, United States,33.0178371,-96.679976,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 10:00 PM,1 0800 - 2200,No,0800 - 2200
Thai on Hillhurst,1850 Hillhurst Ave, Los Angeles, CA 90027, United States,34.1046267,-118.2872148,Monday: Closed; Tuesday: 11:30 AM – 3:00 PM, 5:00 – 9:00 PM; Wednesday: 11:30 AM – 3:00 PM, 5:00 – 9:00 PM; Thursday: 11:30 AM – 3:00 PM, 5:00 – 9:00 PM; Friday: 11:30 AM – 3:00 PM, 5:00 – 9:00 PM; Saturday: 5:00 – 9:00 PM; Sunday: 5:00 – 9:00 PM,2 1130 - 1500,No,1130 - 1500
