Name,Address,Latitude,Longitude,Opening Hours,Secondary Opening Hours,Open Now,Current Opening Hours
Palisades Park,Ocean Ave, Santa Monica, CA 90401, United States,34.0230179,-118.5094604,Monday: 5:30 AM – 11:00 PM; Tuesday: 5:30 AM – 11:00 PM; Wednesday: 5:30 AM – 11:00 PM; Thursday: 5:30 AM – 11:00 PM; Friday: 5:30 AM – 11:00 PM; Saturday: 5:30 AM – 11:00 PM; Sunday: 6:00 AM – 11:30 PM,1 0530 - 2300,No,0530 - 2300
Temescal Canyon Park,15900 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.0374443,-118.5335041,Monday: 6:00 AM – 8:30 PM; Tuesday: 6:00 AM – 8:30 PM; Wednesday: 6:30 AM – 9:00 PM; Thursday: 6:00 AM – 8:30 PM; Friday: 6:00 AM – 8:30 PM; Saturday: 6:00 AM – 8:30 PM; Sunday: 6:00 AM – 10:30 PM,1 0600 - 2030,No,0630 - 2100
The Point at the Bluffs,301 N Mt Holyoke Ave, Pacific Palisades, CA 90272, United States,34.0360113,-118.5326475,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:30 AM – 10:00 PM,1 0600 - 2100,No,0600 - 2100
Pacific Palisades Beach,16931 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.039016,-118.5517359,N/A,N/A,N/A,N/A
SRF Lake Shrine (Reservation required),17190 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0434754,-118.5528976,Monday: Closed; Tuesday: Closed; Wednesday: 10:00 AM – 4:30 PM; Thursday: 10:00 AM – 4:30 PM; Friday: 10:00 AM – 4:30 PM; Saturday: 10:00 AM – 4:30 PM; Sunday: 1:00 – 4:30 PM,3 1000 - 1630,No,1000 - 1630
Spruzzo Restaurant & Bar,538 Palisades Dr, Los Angeles, CA 90272, United States,34.0456394,-118.5516703,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 9:00 PM,1 1100 - 2100,No,1100 - 2100
Pacific Palisades,Pacific Palisades, Los Angeles, CA, USA,34.0467365,-118.546434,N/A,N/A,N/A,N/A
Eagle Rock Trail Head,E Topanga Fire Rd, Malibu, CA 90265, United States,34.1074429,-118.570987,N/A,N/A,N/A,N/A
The Cafe,Getty Villa, 17985 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States,34.0460868,-118.5651625,Monday: 11:00 AM – 3:00 PM; Tuesday: 11:00 AM – 3:00 PM; Wednesday: 11:00 AM – 3:00 PM; Thursday: 11:00 AM – 3:00 PM; Friday: 11:00 AM – 3:00 PM; Saturday: 11:00 AM – 4:00 PM; Sunday: 11:00 AM – 4:00 PM,1 1100 - 1500,No,1100 - 1500
Will Rogers State Beach,17000 CA-1, Pacific Palisades, CA 90272, United States,34.0350564,-118.5366589,N/A,N/A,N/A,N/A
Juicy Ladies,17361 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0398428,-118.55472,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: 8:00 AM – 5:00 PM,1 0800 - 1700,No,0800 - 1700
Golden Bull Restaurant,170 W Channel Rd, Santa Monica, CA 90402, United States,34.0290669,-118.5178396,Monday: 4:00 PM – 12:00 AM; Tuesday: 4:00 PM – 12:00 AM; Wednesday: 4:00 PM – 12:00 AM; Thursday: 4:00 PM – 2:00 AM; Friday: 4:00 PM – 2:00 AM; Saturday: 3:00 PM – 2:00 AM; Sunday: 3:00 PM – 12:00 AM,1 1600 - 0000,No,1600 - 0000
Fiesta Feast,17336 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0404325,-118.5533845,Monday: 8:00 AM – 7:30 PM; Tuesday: 8:00 AM – 7:30 PM; Wednesday: 8:00 AM – 7:30 PM; Thursday: 8:00 AM – 7:30 PM; Friday: 8:00 AM – 7:30 PM; Saturday: 8:00 AM – 7:30 PM; Sunday: 8:00 AM – 6:00 PM,1 0800 - 1930,No,0800 - 1930
Rocco's Cucina,17332 Sunset Blvd, Pacific Palisades, CA 90272, United States,34.0405723,-118.5534195,Monday: 10:00 AM – 7:45 PM; Tuesday: 10:00 AM – 7:45 PM; Wednesday: 10:00 AM – 7:45 PM; Thursday: 10:00 AM – 7:45 PM; Friday: 10:00 AM – 7:45 PM; Saturday: 11:00 AM – 7:45 PM; Sunday: Closed,2 1000 - 1945,No,1000 - 1945
Palisades Park,1450 Ocean Ave, Santa Monica, CA 90402, United States,34.0127772,-118.4970452,Monday: 5:30 AM – 11:00 PM; Tuesday: 5:30 AM – 11:00 PM; Wednesday: 5:30 AM – 11:00 PM; Thursday: 5:30 AM – 11:00 PM; Friday: 5:30 AM – 11:00 PM; Saturday: 5:30 AM – 11:00 PM; Sunday: 6:00 AM – 11:30 PM,1 0530 - 2300,No,0530 - 2300
Annenberg Community Beach House,415 Pacific Coast Hwy, Santa Monica, CA 90402, United States,34.0244025,-118.5133233,Monday: 12:00 – 6:00 PM; Tuesday: 12:00 – 6:00 PM; Wednesday: 12:00 – 6:00 PM; Thursday: 12:00 – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,1 1200 - 1800,No,1200 - 1800
Back on the Beach Cafe,445 CA-1, Santa Monica, CA 90402, United States,34.0237954,-118.5128558,Monday: 9:00 AM – 3:00 PM; Tuesday: 9:00 AM – 3:00 PM; Wednesday: 9:00 AM – 3:00 PM; Thursday: 9:00 AM – 3:00 PM; Friday: 9:00 AM – 3:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 8:00 AM – 4:00 PM,1 0900 - 1500,No,0900 - 1500
Huntington Palisades,441 Ocampo Dr, Pacific Palisades, CA 90272, United States,34.0367718,-118.5215263,N/A,N/A,N/A,N/A
