Name,Address,Opening Hours,Popular Times
Eaton Aerospace,"4690 Colorado Blvd, Los Angeles, CA 90039, USA",Not available,Not available
Eaton Canyon Nature Center,"1750 N Altadena Dr, Pasadena, CA 91107, USA",Not available,Not available
Eaton Aerospace,"4690 Colorado Blvd, Los Angeles, CA 90039, USA",Not available,Not available
Eat'n Park Restaurant,"2517 W Victory Blvd, Burbank, CA 91505, USA","['Monday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20091:30\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 9, 16, 25, 37, 43, 43, 31, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 10, 19, 24, 30, 32, 29, 24, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 4, 11, 24, 32, 36, 31, 21, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 18, 25, 33, 43, 46, 42, 29, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 14, 26, 42, 55, 57, 53, 38, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 14, 30, 54, 81, 96, 86, 61, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 15, 31, 55, 81, 100, 96, 75, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]"
Eaton Canyon Falls,"1750 N Altadena Dr, Altadena, CA 91001, USA",Not available,Not available
Eaton Designs,"3037 N Coolidge Ave, Los Angeles, CA 90039, USA",Not available,Not available
Easton-Rancho Park Archery Range,"2551 Motor Ave, Los Angeles, CA 90064, USA","['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 23, 26, 30, 30, 24, 19, 27, 34, 30, 28, 25, 15, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 24, 21, 26, 21, 16, 21, 23, 41, 42, 42, 32, 27, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 31, 35, 26, 30, 18, 21, 15, 21, 28, 37, 40, 46, 37, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 18, 34, 39, 49, 51, 55, 46, 27, 31, 50, 67, 53, 35, 22, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 30, 28, 24, 17, 16, 12, 19, 20, 32, 29, 37, 25, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 27, 53, 74, 76, 72, 65, 58, 53, 51, 38, 19, 8, 7, 5, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 36, 53, 61, 72, 79, 93, 100, 86, 62, 43, 37, 27, 26, 19, 0, 0]}]"
Parking place for Eaton Canyon Falls,"1750 N Altadena Dr, Pasadena, CA 91107, USA",Not available,Not available
Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027, USA","['Monday: Closed', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 64, 70, 71, 69, 63, 55, 47, 36, 23, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 62, 68, 71, 72, 69, 62, 52, 41, 27, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 64, 70, 72, 72, 70, 65, 58, 47, 32, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 77, 86, 91, 91, 85, 77, 69, 57, 41, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 78, 87, 90, 93, 97, 99, 98, 92, 82, 66, 46, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 73, 84, 89, 93, 96, 100, 98, 90, 76, 59, 39, 0, 0]}]"
Hurst Ranch Historical Center,"3320 1227 S Orange Ave, West Covina, CA 91790, USA","['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",Not available
